title,link,summary,published
"Le crâne « explosé », un cadavre enroulé dans une couverture ensanglantée… découvert dans le jardin",https://vsd.fr/74551-le-crane-explose-un-cadavre-enroule-dans-une-couverture-ensanglantee-decouvert-dans-le-jardin/,"La victime est un homme âgé de 47 ans, qui n’avait plus donné signe de vie depuis plusieurs jours. Son fils est activement recherché.","Wed, 08 Jan 2025 16:27:00 +0000"
Slimane éjecté des Enfoirés et toujours silencieux ?,https://vsd.fr/74541-slimane-ejecte-des-enfoires-et-toujours-silencieux/,"D’après nos confrères du « Parisien », Slimane ne sera pas présent lors du traditionnel concert des Enfoirés, qui sera enregistré cette année à Montpellier.","Wed, 08 Jan 2025 15:20:47 +0000"
Vianney hospitalisé d’urgence après un accident,https://vsd.fr/74538-vianney-hospitalise-durgence-apres-un-accident/,"Ce mercredi 8 janvier 2025, Vianney s’est emparé de son compte Instagram pour faire part d’une terrible mésaventure à ses abonnées, qui aurait pu être très grave.","Wed, 08 Jan 2025 13:52:22 +0000"
Etes-vous dans le Top 3 des bonnes résolutions préférées des Français ?,https://vsd.fr/74514-le-top-3-des-bonnes-resolutions-preferees-des-francais/,"Ah, le mois de janvier ! Ce moment magique où les Français, armés de bonnes intentions et de promesses à eux-mêmes, décident de changer leur vie pour le meilleur. Mais que disent les statistiques sur ces fameuses résolutions qui illuminent notre esprit à chaque début d’année ?","Wed, 08 Jan 2025 13:44:00 +0000"
Michel Legrand : portrait d'un génie tourmenté,https://vsd.fr/74523-michel-legrand-portrait-dun-genie-tourmente/,« Il était une fois Michel Legrand » rassemble archives précieuses et témoignages émouvants. Le film révèle avec une sensibilité rare les multiples facettes de ce génie de la musique de film.,"Wed, 08 Jan 2025 11:20:00 +0000"
Le corps d’un homme retrouvé dans une fosse septique sous une dalle de béton,https://vsd.fr/74435-le-corps-dun-homme-retrouve-dans-une-fosse-septique-sous-une-dalle-de-beton/,"En Inde, Mukesh Chandrakar, 32 ans, dénonçait la corruption et l’insurrection maoïste au Chhattisgarh. Il dirigeait également la chaîne YouTube Bastar Junction.","Wed, 08 Jan 2025 06:27:00 +0000"
Galettes des Rois : nos 3 incontournables !,https://vsd.fr/74418-galettes-des-rois-nos-3-incontournables/,"De la tradition, de la gourmandise et du fruit ! Voilà les trois piliers de notre sélection très subjective et ultra gourmande des galettes des Rois 2025.","Tue, 07 Jan 2025 18:31:00 +0000"
"« Mon mari serait fier de moi », Nathalie Marquay révèle les raisons pour lesquelles elle a accepté de participer à « The Island »",https://vsd.fr/74443-mon-mari-serait-fier-de-moi-nathalie-marquay-revele-les-raisons-pour-lesquelles-elle-a-accepte-de-participer-a-the-island/,"À partir de ce mardi 7 janvier 2025, l’émission « The Island, l’île du bagne » est diffusée sur M6. Au casting, on retrouve notamment Nathalie Marquay, qui a vécu sa participation comme un véritable challenge.","Tue, 07 Jan 2025 17:34:00 +0000"
"« Je suis ce qu’on appelle poliment un accident », Marion Maréchal fait de rares confidences au sujet de sa naissance",https://vsd.fr/74438-je-suis-ce-quon-appelle-poliment-un-accident-marion-marechal-fait-de-rares-confidences-au-sujet-de-sa-naissance/,"Invitée du podcast « Contact » avec Stéphan Bureau, Marion Maréchal a fait de surprenantes révélations concernant les circonstances de sa naissance.","Tue, 07 Jan 2025 15:24:00 +0000"
Le jour où... la femme de Jean-Marie Le Pen a posé nue dans Playboy,https://vsd.fr/74454-le-jour-ou-la-femme-de-jean-marie-le-pen-a-pose-nue-dans-playboy/,"En juin 1987, Pierrette Le Pen, née Lalanne, divorce de Jean-Marie Le Pen, alors président du Front national.","Tue, 07 Jan 2025 14:47:57 +0000"
Jean-Marie Le Pen est mort à 96 ans,https://vsd.fr/74447-jean-marie-le-pen-est-mort-a-96-ans/,"Le plus emblématique de ses succès restera inachevé. Le 21 avril 2002, à 73 ans et pour sa quatrième candidature à l'Élysée, il crée la surprise en se qualifiant pour le second tour de l'élection.","Tue, 07 Jan 2025 13:36:53 +0000"
"« Une chanson magnifique », David Hallyday avoue sa préférence pour l’un des tubes mythiques de son père",https://vsd.fr/74432-une-chanson-magnifique-david-hallyday-avoue-sa-preference-pour-lun-des-tubes-mythiques-de-son-pere/,David Hallyday est actuellement sur les routes avec sa tournée « Requiem » où revisite ses plus grandes chansons mais aussi certaines de son père. Quelques tubes de ce dernier ont d’ailleurs une place particulière dans son cœur…,"Tue, 07 Jan 2025 13:14:00 +0000"
"1,5 million d’euros contre relations sexuelles",https://vsd.fr/74390-15-million-deuros-contre-relations-sexuelles/,Le présentateur vedette de Fox news est poursuivi pour harcèlement par une ex-coiffeuse de la chaîne.,"Tue, 07 Jan 2025 11:15:00 +0000"
"« Il y a un trou de 300 000 euros », Guillaume Genton fait de terribles révélations sur l’escroquerie dont il est victime",https://vsd.fr/74422-il-y-a-un-trou-de-300-000-euros-guillaume-genton-fait-de-terribles-revelations-sur-lescroquerie-dont-il-est-victime/,"Ce lundi 6 janvier 2025, Guillaume Genton a fait de lourdes révélations sur le plateau de « Touche pas à mon poste » au sujet de l’affaire judiciaire qui l’oppose à un ancien chroniqueur de l’émission, Nicolas Pernikoff.","Tue, 07 Jan 2025 11:13:47 +0000"
Une touriste espagnole tuée par un éléphant,https://vsd.fr/74402-une-touriste-espagnole-tuee-par-un-elephant/,"La Thaïlande, destination prisée pour ses sanctuaires d'éléphants, est une fois de plus confrontée à une question urgente : comment concilier l'économie touristique avec le respect du bien-être animal et la sécurité des visiteurs ?","Tue, 07 Jan 2025 08:51:00 +0000"
Variole du singe : un premier cas du nouveau variant identifié en France,https://vsd.fr/74412-variole-du-singe-un-premier-cas-du-nouveau-variant-identifie-en-france/,"Le mpox, aussi connu sous le nom de variole du singe, est une maladie virale transmissible de l'animal à l'homme, mais également entre humains.","Tue, 07 Jan 2025 06:27:00 +0000"
"Elle s’assied sur l’aile du Boeing, il saute sur le tarmac… Paniques à bord !",https://vsd.fr/74373-elle-sassied-sur-laile-du-boeing-il-saute-sur-le-tarmac-paniques-a-bord/,"Problèmes techniques ou crises d’angoisses, c'est une série d'incidents parfois spectaculaires mais heureusement sans fin tragiques qui a secoué le monde de l'aviation en ce début d’année.","Mon, 06 Jan 2025 18:27:00 +0000"
Bruce Toussaint : son annonce inattendue pour sa quotidienne,https://vsd.fr/74359-bruce-toussaint-son-annonce-inattendue-pour-sa-quotidienne/,"Dans une interview accordée à nos confrères de « Puremédias », Bruce Toussaint s’est confié sur les grands changements au sujet de son émission « Bonjour ! ».","Mon, 06 Jan 2025 18:07:00 +0000"
"« Je ne disparais pas », Sylvie Vartan fait des révélations sur ses nouveaux projets après la scène",https://vsd.fr/74356-je-ne-disparais-pas-sylvie-vartan-fait-des-revelations-sur-ses-nouveaux-projets-apres-la-scene/,"Dans une interview accordée à nos confrères de « Télé 7 Jours », Sylvie Vartan s’est confiée sur ses nouveaux projets, après ses adieux à la scène.","Mon, 06 Jan 2025 15:55:00 +0000"
"« Si on doit aller plus loin… », Alex Kapranos se confie sur une possible collaboration avec sa femme, Clara Luciani",https://vsd.fr/74353-si-on-doit-aller-plus-loin-alex-kapranos-se-confie-sur-une-possible-collaboration-avec-sa-femme-clara-luciani/,"Interrogé par nos confrères de « Ouest-France », le chanteur Alex Kapranos s’est confié sur la paternité mais aussi sa vie avec sa femme, Clara Luciani.","Mon, 06 Jan 2025 13:46:00 +0000"
